Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Country,Action
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,514,581,877,780",0.58%,USA,Analyze
MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$2,066,846,488,973",0.93%,USA,Analyze
GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,263,113,280,000",0.00%,USA,Analyze
GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,263,113,280,000",0.00%,USA,Analyze
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,011,507,010,613",0.00%,USA,Analyze
NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$671,617,700,000",0.06%,USA,Analyze
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$602,315,612,050",0.00%,USA,Analyze
META,"Meta Platforms, Inc.",Common stocks,Large cap,Communication Services,"$549,513,200,000",0.00%,USA,Analyze
ASML,ASML Holding NV ADRs,ADRs,Large cap,Information Technology,"$267,748,285,508",1.21%,The Netherlands,Analyze
AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$266,510,113,739",2.69%,USA,Analyze
PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"$241,925,319,151",2.59%,USA,Analyze
COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"$216,313,368,071",0.74%,USA,Analyze
AZN,AstraZeneca PLC ADRs,ADRs,Large cap,Health Care,"$208,483,600,671",2.15%,United Kingdom,Analyze
CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"$203,685,293,554",3.02%,USA,Analyze
TMUS,T Mobile US Inc,Common stocks,Large cap,Communication Services,"$173,518,216,553",0.00%,USA,Analyze
ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"$169,214,441,787",0.00%,USA,Analyze
TXN,Texas Instrument Inc,Common stocks,Large cap,Information Technology,"$163,370,780,723",2.62%,USA,Analyze
AMD,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"$161,590,010,401",0.00%,USA,Analyze
CMCSA,Comcast A Corp,Common stocks,Large cap,Communication Services,"$151,311,831,949",2.99%,USA,Analyze
NFLX,Netflix Inc,Common stocks,Large cap,Communication Services,"$141,537,866,713",0.00%,USA,Analyze
QCOM,Qualcomm Inc,Common stocks,Large cap,Information Technology,"$138,427,250,000",2.39%,USA,Analyze
HON,Honeywell International Inc,Common stocks,Large cap,Industrials,"$124,888,775,904",2.13%,USA,Analyze
AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"$124,469,861,078",3.37%,USA,Analyze
INTU,Intuit Inc,Common stocks,Large cap,Information Technology,"$121,333,509,941",0.67%,USA,Analyze
INTC,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"$120,097,110,000",4.94%,USA,Analyze
SBUX,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"$113,114,106,000",2.05%,USA,Analyze
AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"$103,763,640,467",0.84%,USA,Analyze
GILD,Gilead Sciences Inc,Common stocks,Large cap,Health Care,"$98,222,001,929",3.68%,USA,Analyze
PDD,Pinduoduo Inc. ADRs,ADRs,Large cap,Consumer Discretionary,"$97,926,670,064",0.00%,China,Analyze
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$95,833,755,936",1.65%,USA,Analyze
BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$95,580,183,437",0.00%,USA,Analyze
MDLZ,Mondelez International Inc,Common stocks,Large cap,Consumer Staples,"$91,614,220,253",2.17%,USA,Analyze
ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$88,513,776,402",2.13%,USA,Analyze
REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$86,238,124,754",0.00%,USA,Analyze
ISRG,Intuitive Surgical Inc,Common stocks,Large cap,Health Care,"$85,627,330,501",0.00%,USA,Analyze
PYPL,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"$82,092,446,503",0.00%,USA,Analyze
VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$78,348,616,645",0.00%,USA,Analyze
ABNB,"Airbnb, Inc.",Common stocks,Large cap,Consumer Discretionary,"$77,277,975,115",0.00%,USA,Analyze
LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$70,651,249,670",1.27%,USA,Analyze
FISV,Fiserv Inc,Common stocks,Large cap,Information Technology,"$69,784,838,263",0.00%,USA,Analyze
MU,Micron Technology Inc,Common stocks,Large cap,Information Technology,"$66,932,769,700",0.72%,USA,Analyze
ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$62,490,962,360",0.59%,USA,Analyze
MELI,Mercadolibre Inc,Common stocks,Large cap,Consumer Discretionary,"$59,884,623,204",0.00%,USA,Analyze
PANW,Palo Alto Networks Inc,Common stocks,Large cap,Information Technology,"$58,672,653,874",0.00%,USA,Analyze
CSX,CSX Corp,Common stocks,Large cap,Industrials,"$57,917,960,587",1.45%,USA,Analyze
CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$57,866,303,671",0.00%,USA,Analyze
SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"$57,783,256,254",0.00%,USA,Analyze
MRNA,"Moderna, Inc.",Common stocks,Large cap,Health Care,"$57,628,000,036",0.00%,USA,Analyze
CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$56,498,580,000",0.00%,USA,Analyze
JD,JD.com Inc ADRs,ADRs,Large cap,Consumer Discretionary,"$54,263,354,980",0.00%,China,Analyze
KLAC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"$53,842,317,041",1.27%,USA,Analyze
MNST,Monster Beverage Corp,Common stocks,Large cap,Consumer Staples,"$53,489,494,166",0.00%,USA,Analyze
FTNT,Fortinet Inc,Common stocks,Large cap,Information Technology,"$49,592,192,779",0.00%,USA,Analyze
ORLY,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"$49,551,901,837",0.00%,USA,Analyze
MAR,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"$49,293,223,017",0.87%,USA,Analyze
KDP,Keurig Dr Pepper Inc.,Common stocks,Large cap,Consumer Staples,"$47,973,912,321",2.25%,USA,Analyze
NXPI,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"$47,242,913,396",1.93%,The Netherlands,Analyze
KHC,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"$45,839,626,367",4.21%,USA,Analyze
MCHP,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"$45,083,602,323",1.53%,USA,Analyze
DXCM,Dexcom Inc,Common stocks,Large cap,Health Care,"$44,244,367,505",0.00%,USA,Analyze
CTAS,Cintas Corp,Common stocks,Large cap,Industrials,"$44,016,910,479",1.01%,USA,Analyze
AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$43,935,496,660",3.72%,USA,Analyze
ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$43,201,392,680",0.00%,USA,Analyze
IDXX,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"$39,689,159,833",0.00%,USA,Analyze
EXC,Exelon Corp,Common stocks,Large cap,Utilities,"$38,969,775,695",3.46%,USA,Analyze
PAYX,Paychex Inc,Common stocks,Large cap,Information Technology,"$38,887,131,198",2.90%,USA,Analyze
BIIB,Biogen Inc,Common stocks,Large cap,Health Care,"$38,313,258,750",0.00%,USA,Analyze
WDAY,Workday Inc,Common stocks,Large cap,Information Technology,"$38,172,120,000",0.00%,USA,Analyze
LULU,Lululemon Athletica Inc,Common stocks,Large cap,Consumer Discretionary,"$37,725,750,739",0.00%,USA,Analyze
SGEN,Seattle Genetics Inc,Common stocks,Large cap,Health Care,"$37,002,973,603",0.00%,USA,Analyze
PCAR,Paccar Inc,Common stocks,Large cap,Industrials,"$36,479,562,944",1.33%,USA,Analyze
ODFL,Old Dominion Freight Line Inc,Common stocks,Large cap,Industrials,"$36,253,708,685",0.39%,USA,Analyze
MRVL,Marvell Technology Group Ltd,Common stocks,Large cap,Information Technology,"$36,229,732,000",0.57%,USA,Analyze
WBD,"Warner Bros. Discovery, Inc. - Series A",Common stocks,Large cap,Communication Services,"$35,308,335,638",0.00%,USA,Analyze
ROST,Ross Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$34,998,425,645",1.24%,USA,Analyze
XEL,Xcel Energy Inc,Common stocks,Large cap,Utilities,"$34,810,815,723",3.10%,USA,Analyze
ILMN,Illumina Inc,Common stocks,Large cap,Health Care,"$34,278,100,000",0.00%,USA,Analyze
CPRT,Copart Inc,Common stocks,Large cap,Industrials,"$33,947,684,915",0.00%,USA,Analyze
EA,Electronic Arts Inc,Common stocks,Large cap,Communication Services,"$32,036,350,353",0.65%,USA,Analyze
CRWD,"CrowdStrike Holdings, Inc. - Class A",Common stocks,Large cap,Information Technology,"$29,993,976,539",0.00%,USA,Analyze
DLTR,Dollar Tree Inc,Common stocks,Large cap,Consumer Discretionary,"$29,967,485,819",0.00%,USA,Analyze
CTSH,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"$29,620,574,983",1.88%,USA,Analyze
FAST,Fastenal,Common stocks,Large cap,Industrials,"$29,541,505,738",2.45%,USA,Analyze
VRSK,Verisk Analytics Inc,Common stocks,Large cap,Industrials,"$28,126,797,992",0.70%,USA,Analyze
ENPH,Enphase Energy Inc,Common stocks,Large cap,Information Technology,"$27,935,561,568",0.00%,USA,Analyze
WBA,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"$27,884,739,901",5.82%,USA,Analyze
ANSS,Ansys Inc,Common stocks,Large cap,Information Technology,"$27,401,575,289",0.00%,USA,Analyze
BKR,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"$27,029,849,255",2.74%,USA,Analyze
CSGP,Costar Group Inc,Common stocks,Large cap,Industrials,"$26,785,964,581",0.00%,USA,Analyze
CEG,Constellation Energy Corporation,Common stocks,Large cap,Utilities,"$24,041,193,486",0.96%,USA,Analyze
ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"$23,862,582,162",0.00%,USA,Analyze
FANG,Diamondback Energy Inc,Common stocks,Large cap,Energy,"$23,248,043,488",2.34%,USA,Analyze
TEAM,Atlassian Plc Class A,Common stocks,Large cap,Information Technology,"$23,010,025,428",0.00%,United Kingdom,Analyze
EBAY,Ebay Inc,Common stocks,Large cap,Consumer Discretionary,"$22,790,567,971",2.13%,USA,Analyze
DDOG,"Datadog, Inc. - Class A",Common stocks,Large cap,Information Technology,"$19,831,078,844",0.00%,USA,Analyze
ZM,"Zoom Video Communications, Inc. - Class A",Common stocks,Large cap,Information Technology,"$17,101,456,155",0.00%,USA,Analyze
ZS,Zscaler Inc,Common stocks,Large cap,Information Technology,"$16,334,717,893",0.00%,USA,Analyze
LCID,"Lucid Group, Inc.",Common stocks,Large cap,Consumer Discretionary,"$14,992,350,004",0.00%,USA,Analyze
SIRI,Sirius Xm Holdings Inc,Common stocks,Large cap,Communication Services,"$14,044,706,596",2.53%,USA,Analyze
RIVN,"Rivian Automotive, Inc.  Class A",Common stocks,Large cap,Consumer Discretionary,"$12,603,123,328",0.00%,USA,Analyze